row_num,name,start_name,distance,mass,radius,gravity
72,0025,1.9,1.8,16.6,4.3595587167948895e-13,4.3595587167948895e-13
75,0077,3.8,3.1,290,2.460095124851367e-15,2.460095124851367e-15
78,0052,2.8,2.4,30,1.779733333333333e-13,1.779733333333333e-13
79,0088,1.5,84,820,8.33753718024985e-15,8.33753718024985e-15
81,0130,5.0,4.2,700,5.720571428571428e-16,5.720571428571428e-16
82,0110,3.5,6.8,290,5.396337693222353e-15,5.396337693222353e-15
85,0101,4.0,3.4,260,3.3567455621301773e-15,3.3567455621301773e-15
86,0081,2.9,4.2,110,2.3165950413223137e-14,2.3165950413223137e-14
88,0120,4.25,30,300,2.2246666666666667e-14,2.2246666666666667e-14
92,0140,3.5,6.8,360,3.5017901234567897e-15,3.5017901234567897e-15
95,081,2.39,2.77,50,7.394792e-14,7.394792e-14
